NGCT13_SLICE50_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE51_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE52_LAD,276,295,281,292,274.5,277.0,298.5,294.0,159.125,1.5,18.0,17.5,2.0
NGCT13_SLICE53_LAD,288,282,289,281,279.5,279.0,308.5,292.5,148.4375,8.5,3.0,19.5,11.5
NGCT13_SLICE54_LAD,300,242,310,263,299.0,236.0,321.5,273.0,67.3125,1.0,6.0,11.5,10.0
NGCT13_SLICE55_LAD,324,249,313,240,308.0,239.5,321.5,255.5,164.6875,16.0,9.5,8.5,15.5
NGCT13_SLICE56_LAD,319,245,316,247,313.5,239.0,324.5,248.5,35.1875,5.5,6.0,8.5,1.5
NGCT13_SLICE57_LAD,314,234,317,226,311.0,223.5,322.5,232.0,46.375,3.0,10.5,5.5,6.0
NGCT13_SLICE58_LAD,317,232,315,223,308.5,221.5,325.0,234.0,100.875,8.5,10.5,10.0,11.0
NGCT13_SLICE59_LAD,312,222,310,226,308.5,220.5,322.0,228.5,41.1875,3.5,1.5,12.0,2.5
NGCT13_SLICE60_LAD,318,231,313,224,314.0,220.5,324.5,226.5,66.1875,4.0,10.5,11.5,2.5
NGCT13_SLICE61_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE62_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE63_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE64_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT13_SLICE65_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT14_SLICE54_LAD,291,247,310,246,288.5,239.0,313.0,252.0,28.8125,2.5,8.0,3.0,6.0
NGCT14_SLICE55_LAD,297,244,310,245,292.0,236.0,317.0,249.5,39.5625,5.0,8.0,7.0,4.5
NGCT14_SLICE56_LAD,316,234,325,238,310.0,228.0,330.5,240.5,27.125,6.0,6.0,5.5,2.5
NGCT14_SLICE57_LAD,321,231,334,231,319.0,224.0,338.5,234.5,21.375,2.0,7.0,4.5,3.5
NGCT14_SLICE58_LAD,324,224,328,228,323.0,224.0,336.0,232.0,20.25,1.0,0.0,8.0,4.0
NGCT14_SLICE59_LAD,340,226,343,221,334.0,218.5,346.5,227.0,35.125,6.0,7.5,3.5,6.0
NGCT15_SLICE36_LAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT15_SLICE37_LAD,329,241,340,248,324.5,238.5,342.0,253.5,15.1875,4.5,2.5,2.0,5.5
